image_flag,image_reference,primary_level,topic_slug,topic_title,quiz_id,quiz_code,quiz_title,quiz_type,quiz_order,quiz_question_count,question_id,question_code,question_order,question_type,difficulty,marks,instruction,prompt,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation,skill,skill_tags
TEXT_ONLY,,1,thinking-like-a-scientist,Thinking Like a Scientist,,thinking-like-a-scientist-template-001,Thinking Like a Scientist Template,standard,999,10,,SCI-P1-TEMPLATE-001-Q01,1,multiple_choice,1,1,Choose the best answer.,Which sentence is an observation about a leaf?,The leaf is green.,The leaf is happy.,The leaf wants water.,The leaf is thinking.,A,The leaf is green.,Green is a colour that can be seen directly.,Observing,observations | plants
TEXT_ONLY,,1,thinking-like-a-scientist,Thinking Like a Scientist,,thinking-like-a-scientist-template-001,Thinking Like a Scientist Template,standard,999,10,,SCI-P1-TEMPLATE-001-Q02,2,true_false,1,1,Choose True or False.,A ruler can be used to compare length.,True,False,,,A,True,A ruler is a tool for measuring and comparing length.,Measuring,measurement | tools
LIKELY_NEEDS_IMAGE,,1,thinking-like-a-scientist,Thinking Like a Scientist,,thinking-like-a-scientist-template-001,Thinking Like a Scientist Template,standard,999,10,,SCI-P1-TEMPLATE-001-Q03,3,image_choice,1,1,Choose the correct picture.,Which picture should show a round object?,A square tile,A round ball,A long ruler,A triangular flag,B,A round ball,A ball has a round shape.,Observing,shape | image-choice
TEXT_ONLY,,1,thinking-like-a-scientist,Thinking Like a Scientist,,thinking-like-a-scientist-template-001,Thinking Like a Scientist Template,standard,999,10,,SCI-P1-TEMPLATE-001-Q04,4,sorting,1,1,Put the items in the correct order.,Put these plant-growth stages in order.,Seed,Root,Shoot,Young plant,,A | B | C | D,A seed grows roots and shoots before becoming a young plant.,Sequencing,plants | sequencing
TEXT_ONLY,,1,thinking-like-a-scientist,Thinking Like a Scientist,,thinking-like-a-scientist-template-001,Thinking Like a Scientist Template,standard,999,10,,SCI-P1-TEMPLATE-001-Q05,5,multiple_choice,1,1,Choose the best answer.,Which sense helps you notice the colour of a flower?,Sight,Hearing,Smell,Touch,A,Sight,Sight allows us to observe colour.,Observing,senses | observation
TEXT_ONLY,,1,thinking-like-a-scientist,Thinking Like a Scientist,,thinking-like-a-scientist-template-001,Thinking Like a Scientist Template,standard,999,10,,SCI-P1-TEMPLATE-001-Q06,6,true_false,1,1,Choose True or False.,Scientists should record what they observe.,True,False,,,A,True,Recording observations helps us remember and compare evidence.,Recording,recording | inquiry
LIKELY_NEEDS_IMAGE,,1,thinking-like-a-scientist,Thinking Like a Scientist,,thinking-like-a-scientist-template-001,Thinking Like a Scientist Template,standard,999,10,,SCI-P1-TEMPLATE-001-Q07,7,image_choice,1,1,Choose the correct picture.,Which picture should show a safe way to use science materials?,A child following the teacher's instructions,A child tasting an unknown powder,A child running with glassware,A child throwing materials,A,A child following the teacher's instructions,Following instructions is the safe choice.,Science safety,safety | observing
TEXT_ONLY,,1,thinking-like-a-scientist,Thinking Like a Scientist,,thinking-like-a-scientist-template-001,Thinking Like a Scientist Template,standard,999,10,,SCI-P1-TEMPLATE-001-Q08,8,multiple_choice,1,1,Choose the best answer.,Which tool is best for measuring the length of a pencil?,Ruler,Thermometer,Clock,Cup,A,Ruler,A ruler measures length.,Measuring,measurement | tools
TEXT_ONLY,,1,thinking-like-a-scientist,Thinking Like a Scientist,,thinking-like-a-scientist-template-001,Thinking Like a Scientist Template,standard,999,10,,SCI-P1-TEMPLATE-001-Q09,9,sorting,1,1,Put the items in the correct order.,Put these simple investigation steps in order.,Listen to the instructions,Set up the materials,Make the observation,Record what happened,,A | B | C | D,A safe investigation starts with instructions and ends with recording.,Sequencing,inquiry | recording
TEXT_ONLY,,1,thinking-like-a-scientist,Thinking Like a Scientist,,thinking-like-a-scientist-template-001,Thinking Like a Scientist Template,standard,999,10,,SCI-P1-TEMPLATE-001-Q10,10,multiple_choice,1,1,Choose the best answer.,Why do scientists compare objects?,To find similarities and differences,To make every object identical,To change the weather,To avoid observing,A,To find similarities and differences,Comparing helps identify similarities and differences.,Comparing,comparison | inquiry
